PartID,Cohort,Timepoint,Hopping_Foot_1,Hopping_Arm_1,Hopping_Leg_1,Hopping_Foot_2,Hopping_Arm_2,Hopping_Leg_2,Hopping_Foot_3,Hopping_Arm_3,Hopping_Leg_3,Hopping_Foot_4,Hopping_Arm_4,Hopping_Leg_4,Kick_Approach_1,Kick_Support Loc_1,Kick_Knee Action_1,Kick_Trunk Action_1,Kick_Arm Action_1,Kick_Follow Through_1,Kick_Approach_2,Kick_Support Loc_2,Kick_Knee Action_2,Kick_Trunk Action_2,Kick_Arm Action_2,Kick_Follow Through_2,Kick_Approach_3,Kick_Support Loc_3,Kick_Knee Action_3,Kick_Trunk Action_3,Kick_Arm Action_3,Kick_Follow Through_3,Kick_Approach_4,Kick_Support Loc_4,Kick_Knee Action_4,Kick_Trunk Action_4,Kick_Arm Action_4,Kick_Follow Through_4,Kick_Approach_5,Kick_Support Loc_5,Kick_Knee Action_5,Kick_Trunk Action_5,Kick_Arm Action_5,Kick_Follow Through_5,Jump_TO_Arm_1,Jump_TO_Leg_1,Jump_LND_Shank_1,Jump_LND_Foot_1,Jump_LND_Arm_1,Jump_TO_Arm_2,Jump_TO_Leg_2,Jump_LND_Shank_2,Jump_LND_Foot_2,Jump_LND_Arm_2,Jump_TO_Arm_3,Jump_TO_Leg_3,Jump_LND_Shank_3,Jump_LND_Foot_3,Jump_LND_Arm_3,Jump_TO_Arm_4,Jump_TO_Leg_4,Jump_LND_Shank_4,Jump_LND_Foot_4,Jump_LND_Arm_4,Jump_TO_Arm_5,Jump_TO_Leg_5,Jump_LND_Shank_5,Jump_LND_Foot_5,Jump_LND_Arm_5,Throw_Step_1,Throw_Trunk_1,Throw_Humerus_1,Throw_Forearm_1,Throw_Step_2,Throw_Trunk_2,Throw_Humerus_2,Throw_Forearm_2,Throw_Step_3,Throw_Trunk_3,Throw_Humerus_3,Throw_Forearm_3,Throw_Step_4,Throw_Trunk_4,Throw_Humerus_4,Throw_Forearm_4,Throw_Step_5,Throw_Trunk_5,Throw_Humerus_5,Throw_Forearm_5
301,C2,T1,L,1,1,L,1,1,,,,,,,2,3,2,1,2,1,2,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,3,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,2,1,1,1,2,1,1
301,C2,T2,L,2,2,L,1,2,R,1,1,R,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,2,2,3,3,1,2,2,3,4,1,1,1,2,4,1,2,1,3,4,2,2,2,3,2,2,2,1,2,2,2,3,2,2,2,1,2,2,2,3,2,2,2
301,C2,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,1,2,2,2,3,2,2,2,1,2,2,2,3,2,2,2
301,C2,T2,,,,,,,,,,,,,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,C2,T1,R,3,2,R,3,2,L,3,3,L,3,3,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,2,2,2,3,2,1,2,1,2,2,2,3,2,2,2
302,C2,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,C2,T3,R,5,4,R,3,3,L,4,3,L,3,3,2,3,2,1,2,3,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,3,3,2,3,4,3,3,2,3,2,2,3,2,3,2,3,3,2,3,2,3,4,2,3,2,,,,,,,,,,,,,,,,,,,,
302,C2,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,C2,T1,R,1,3,R,1,3,L,1,1,L,1,1,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,4,1,2,2,2,3,1,2,1,1,3,1,2,1,2,3,1,2,2,2,4,2,2,1,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
303,C2,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,C2,T3,R,2,3,R,2,2,L,2,2,L,2,2,2,3,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2,1,2,4,2,3,2,3,4,2,2,1,2,4,2,3,1,,,,,,,,,,,,,,,,,,,,
303,C2,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,C2,T1,R,2,2,R,1,2,L,1,2,L,1,2,2,3,2,2,2,3,2,3,2,1,2,3,2,3,2,2,2,3,2,3,2,2,2,3,2,3,2,1,2,3,2,4,2,3,2,1,3,2,3,2,2,4,2,3,4,2,3,2,3,2,1,4,2,3,2,3,2,1,2,3,2,2,2,3,2,1,2,3,2,1,2,3,2,1,2
304,C2,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,3,2,4,4,2,3,2,3,4,2,1,2,3,4,2,3,2,3,4,2,3,2,3,2,2,2,3,2,2,2,3,2,1,1,3,2,1,1,3,2,2,2
304,C2,T3,L,4,4,L,3,3,R,3,3,R,4,3,2,3,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,1,3,4,2,3,2,3,4,2,3,2,3,4,1,1,2,3,4,2,1,2,3,4,2,3,2,3,2,2,2,3,2,2,2,3,2,1,1,3,2,1,1,3,2,2,2
304,C2,T2,,,,,,,,,,,,,2,3,2,2,2,3,2,3,3,2,2,3,2,2,3,2,2,2,2,3,2,2,2,3,2,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,C2,T1,,,,,,,,,,,,,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,2,2,4,2,3,2,2,3,2,3,2,2,3,2,3,2,2,x,2,3,2,2,4,2,3,2,1,2,2,2,3,2,1,2,3,2,1,2,3,2,2,2,3,2,1,2
305,C2,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,3,2,3,4,2,3,2,3,3,2,1,2,3,4,2,3,2,3,3,2,3,2,3,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,2,2
305,C2,T3,R,2,2,R,1,2,L,1,3,L,1,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,3,1,2,2,2,2,2,1,2,2,2,3,3,1,2,2,3,4,2,3,3,3,4,2,3,3,3,4,2,3,3,3,4,1,1,2,3,4,2,3,3,3,2,1,1,2,2,1,1,2,2,1,1,1,2,2,2,1,2,2,2
305,C2,T2,,,,,,,,,,,,,2,3,3,1,2,2,2,2,3,1,2,2,2,2,3,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,C2,T1,,,,,,,,,,,,,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,3,2,1,1,3,2,1,1,3,2,1,2,3,2,1,1
306,C2,T2,R,3,2,R,3,2,L,1,1,L,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,3,1,3,4,2,3,2,3,4,2,3,2,2,4,1,1,2,3,4,2,3,1,1,2,1,2,1,2,1,2,1,2,1,2,3,2,1,2,3,2,1,2
306,C2,T3,R,3,2,R,3,2,L,1,1,L,1,1,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,2,2,2,3,4,2,3,2,3,4,1,2,2,3,4,2,2,1,3,4,2,2,1,3,4,2,3,1,1,2,1,2,1,2,1,2,1,2,1,2,3,2,1,2,3,2,1,2
306,C2,T2,,,,,,,,,,,,,2,3,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,C2,T1,,,,,,,,,,,,,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,4,2,3,2,2,3,2,3,2,2,3,1,1,2,2,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
307,C2,T2,R,1,1,R,1,1,R,1,1,R,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,1,1,1,1,1,1,1,3,1,2,1,2,3,4,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
307,C2,T3,R,1,1,R,1,1,L,1,1,L,1,1,2,3,2,1,2,1,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,1,2,3,2,1,2,1,3,4,2,3,1,2,3,2,3,1,2,1,2,2,1,2,3,1,2,1,2,4,2,3,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
307,C2,T2,,,,,,,,,,,,,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,C2,T1,,,,,,,,,,,,,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,3,2,2,1,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
308,C2,T2,,,,L,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,2,1,3,1,2,1,1,3,2,3,1,1,3,1,2,2,2,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
308,C2,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
308,C2,T2,,,,,,,,,,,,,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,C2,T1,,,,,,,,,,,,,2,3,2,1,1,1,2,2,2,1,1,1,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,4,2,3,2,2,3,2,3,2,2,3,2,3,2,2,4,2,3,4,2,3,2,3,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1
309,C2,T2,R,4,3,R,4,3,L,4,3,L,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,1,2,3,2,3,2,2,4,2,3,2,2,4,2,3,2,2,3,2,3,2,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,1,1,2,1,1
309,C2,T3,R,2,3,R,4,3,L,2,2,L,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,4,2,3,2,2,4,2,3,4,2,4,2,3,4,2,4,2,3,2,2,4,2,3,2,1,2,1,1,1,2,1,1,2,2,1,1,2,2,1,1,1,2,1,1
309,C2,T2,,,,,,,,,,,,,2,3,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,C2,T1,R,2,2,R,1,2,L,1,3,L,1,2,2,3,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,2,2,1,2,3,2,3,2,1,2,3,3,4,2,2,2,2,4,2,3,2,2,4,2,2,2,2,4,1,2,2,3,4,2,3,3,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
310,C2,T2,R,2,3,R,2,3,L,2,3,L,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,3,4,3,4,2,3,2,3,4,1,1,3,3,4,2,3,3,3,4,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,1,2,2,2
310,C2,T3,R,2,2,R,2,2,L,2,2,L,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,3,4,2,3,2,3,4,2,2,2,3,4,2,3,2,2,4,2,1,2,3,4,2,3,3,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,1,2,2,2
310,C2,T2,,,,,,,,,,,,,2,2,3,1,2,3,2,3,2,1,2,3,2,3,2,2,2,3,2,3,2,1,2,3,2,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,C2,T1,,,,,,,,,,,,,2,3,2,1,1,1,2,3,2,1,2,2,2,3,2,1,2,1,2,3,2,1,2,2,2,3,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
311,C2,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,2,2,3,2,2,2,1,3,2,2,2,1,3,2,3,1,1,3,2,3,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
311,C2,T3,R,1,1,R,1,1,,,,,,,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,1,3,2,3,1,1,3,2,2,1,1,3,2,2,1,1,3,2,2,2,1,3,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
311,C2,T2,,,,,,,,,,,,,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,1,2,3,2,1,2,1,2,3,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,C2,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,C2,T2,R,2,2,R,1,2,L,2,2,L,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,3,3,4,4,2,3,3,3,4,2,3,2,4,4,2,3,2,4,4,2,3,2,2,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1
312,C2,T3,R,1,2,R,1,2,L,2,2,L,2,2,2,3,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3,4,2,3,2,3,3,2,3,2,3,4,2,3,2,4,4,2,2,2,4,4,2,3,2,2,1,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1
312,C2,T2,,,,,,,,,,,,,2,3,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,C2,T1,L,1,2,L,2,2,R,1,2,R,1,2,2,2,2,2,2,3,2,3,2,2,2,3,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,1,2,2,2,x,2,2,2,x,x,2,2,2,x,x,2,2,3,x,x,1,2,2,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2
313,C2,T2,R,2,3,R,4,3,L,2,3,L,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,3,2,3,4,2,3,4,3,4,2,3,2,4,4,2,3,2,3,3,2,3,2,1,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
313,C2,T3,L,3,4,L,2,4,R,3,3,R,2,3,2,3,3,1,2,3,2,2,3,1,2,3,2,2,2,1,2,3,2,3,2,1,2,3,2,3,3,1,2,2,3,4,2,3,2,4,4,2,3,2,4,4,2,3,2,4,4,2,3,2,4,4,2,3,3,1,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
313,C2,T2,,,,,,,,,,,,,2,2,2,1,2,2,2,3,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,C2,T1,,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,2,1,1,1,3,2,2,2,3,2,2,2,3,2,2,2
314,C2,T2,L,3,2,L,3,2,R,2,2,R,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,3,1,3,3,2,3,1,4,3,2,3,1,3,3,2,3,2,3,1,2,3,1,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
314,C2,T3,L,1,2,L,3,2,R,2,1,R,2,1,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,4,2,3,2,2,4,2,3,2,2,4,2,3,2,3,4,2,3,2,2,4,2,3,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
314,C2,T2,,,,,,,,,,,,,2,2,2,1,2,2,2,2,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,C2,T1,,,,,,,,,,,,,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,1,2,2,2,3,2,3,2,3,2,2,2,3,2,2,2
315,C2,T2,R,1,1,R,1,1,L,4,2,L,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,2,2,3,4,1,2,2,3,4,2,1,1,2,4,2,2,2,3,4,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
315,C2,T3,L,2,3,R,2,2,R,2,2,L,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,3,3,4,1,2,2,3,4,1,2,2,3,4,2,3,2,3,4,1,2,2,3,4,1,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
315,C2,T2,,,,,,,,,,,,,2,3,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,C2,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,C2,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,3,2,2,3,2,3,2,2,4,2,3,2,2,3,2,3,1,2,4,2,3,2,3,2,2,2,3,2,2,2,1,2,2,2,3,2,2,2,3,2,2,2
316,C2,T3,R,2,2,R,2,1,L,2,2,L,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,3,1,2,3,2,3,2,2,3,2,3,1,2,3,2,3,2,2,4,2,3,2,3,2,2,2,3,2,2,2,1,2,2,2,3,2,2,2,3,2,2,2
316,C2,T2,,,,,,,,,,,,,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,C2,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,2,2,4,2,3,2,2,4,3,3,2,2,4,3,4,2,2,4,2,4,2,2,4,,,,,,,,,,,,,,,,,,,,
317,C2,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,C2,T1,L,1,2,L,1,2,R,1,2,R,1,2,2,3,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,3,2,3,1,1,1,1,4,1,2,2,2,3,1,2,1,2,3,1,2,2,2,3,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1
350,C2,T2,R,1,2,R,2,1,L,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,2,2,4,2,3,3,2,3,2,3,3,2,4,2,3,3,1,4,1,2,2,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
350,C2,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
350,C2,T2,,,,,,,,,,,,,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,3,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,C2,T1,,,,,,,,,,,,,2,3,2,1,2,2,2,2,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,3,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,2,3,2,3,3,2,3,2,3,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
351,C2,T2,L,1,2,L,1,1,L,2,2,L,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2,2,1,1,1,1,1,1,1,3,1,1,1,2,3,2,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2
351,C2,T3,L,1,2,L,1,2,L,1,2,R,1,2,2,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,2,2,2,4,2,3,2,2,3,2,3,2,2,4,2,3,2,1,4,2,3,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2
351,C2,T2,,,,,,,,,,,,,2,3,2,1,2,2,2,3,2,2,2,3,2,3,2,1,2,3,2,3,2,2,2,3,3,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,C2,T1,,,,,,,,,,,,,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,1,3,2,2,1,1,4,2,2,1,2,4,2,2,1,1,4,2,2,2,2,4,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2
352,C2,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,3,2,1,4,1,2,2,1,4,2,3,1,2,4,2,3,2,2,1,2,2,2,1,2,2,2,3,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2
352,C2,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,3,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2
352,C2,T2,,,,,,,,,,,,,2,3,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,C2,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,3,1,1,4,2,3,1,1,4,1,1,1,1,4,1,1,1,1,4,2,3,1,,,,,,,,,,,,,,,,,,,,
353,C2,T2,L,3,2,L,1,1,L,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,2,2,2,4,2,3,2,2,4,2,2,2,2,4,2,3,2,2,4,2,3,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
353,C2,T3,L,3,2,L,4,2,R,1,1,R,1,1,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,4,2,2,2,2,4,2,2,2,2,4,2,3,2,3,4,2,1,2,2,4,2,3,2,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
353,C2,T2,,,,,,,,,,,,,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,C2,T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,C2,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,C2,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,C2,T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,C2,T1,R,1,2,R,1,1,L,1,1,L,1,1,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,1,2,2,2,1,2,2,1,3,2,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1
355,C2,T2,L,1,1,,,,R,1,2,R,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,3,3,3,3,2,3,3,4,4,2,2,2,1,4,2,1,2,2,3,2,2,2,3,2,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,2,2,1
355,C2,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,2,2,1
355,C2,T2,,,,,,,,,,,,,2,3,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,2,2,2,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
